"NDB_No","FdGrp_Cd","Long_Desc"
"99538","2500","Formulated bar, Cliff Bar Crunchy Peanut Butter Flavor"
"99539","2500","Formulated bar, Cliff Luna Nuts Over Chocolate Flavor"
"99540","1600","Tofu, firm, braised"
"99541","1600","Tofu, smoked"
"99542","2000","Sago"
"99543","0600","Sauce mix, Betty Crocker, Hamburger Helper"
"99544","0600","Sauce mix, Scalloped potatoes"
"99545","0600","Sauce mix, Betty Crocker, Tuna Helper"
"99546","0600","Sauce mx, Rice-A-Roni, beef flavor"
"99547","0600","Sauce mx, Rice-A-Roni, chicken flavor"
"99548","1600","Peanut butter spread, reducd fat"
"99549","1100","Broccoli sprouts, raw"
"99550","1800","Crispbread, multigrain (purchased In the Untied Kingdom)"
"99551","1800","Crispbread, wheat (purxchased in the United Kingdom)"
"99553","2000","Flour, wheat, various types (Purchased in the United Kigdom)"
"99554","2100","Fast Food, Pizza chain, meat topping"
"99555","2100","JACK IN THE BOX, Beef Monster Taco"
"99556","2100","SUBWAY, Chicken teriyaki strips sandwich"
"99557","2100","Subway, meatball sandwich"
"99559","1600","Soymilk, made from soy isolate (purchased in Australia)"
"99560","1600","Soy Protein Drink"
"99561","0800","Cereals ready-to-eat, QUAKER, Sugar Puffs (Purchased in the United Kingdom)"
"99562","0800","Cereals, Scots Porridge oats, raw (purchased in the United Kingdom)"
"99563","1900","Desserts, frozen, Tofutti Nondairy Original Premium"
"99564","1900","Desserts, frozen, Glace Soymilk"
"99565","2500","Formulated bar, Balance Yogurt Honey Peanut Flavor"
"99566","2000","Pasta, Lasagne, raw"
"99567","2000","Pasta, Lasagne, boiled"
"99568","1600","Soymilk curd, dried"
"99569","2100","Pizza, with added soy flour or soy protein"
"99571","1100","Clover, red"
"99572","1600","Soymilk, original and vanilla, fortified or unfortified"
"99573","1600","Sausage links, meatless, prepared (MORNINGSTAR FARMS Veggie Sausage Links)"
"99574","1600","Soybeans, mature seeds, raw (Australia)"
"99575","1600","Soybeans, mature seeds, raw (Europe)"
"99576","1600","Soybeans, mature seeds, raw (United States)"
"01124","0100","Egg, white, raw, fresh"
"16144","1600","Lentils, red/pink, raw"
"01125","0100","Egg, yolk, raw, fresh"
